1	2	8470
1	9	1604
1	3	5659
1	4	409
1	6	1268
1	11	855
1	10	116
1	12	77
1	14	1327
1	18	505
1	26	1189
1	31	1047
1	20	651
1	34	335
1	45	223
1	8	1067
1	7	3032
1	39	143
1	5	1293
1	17	603
1	28	626
1	23	34
1	30	70
1	40	256
1	32	707
1	27	664
1	41	76
1	37	82
1	35	78
1	25	104
1	29	601
1	13	239
1	15	265
1	19	330
1	16	112
1	21	70
1	47	26
1	42	21
1	33	55
1	36	309
1	43	25
1	38	4
1	50	2
1	22	127
1	46	91
1	44	20
1	48	71
1	49	14
1	24	5
2	3	83186
2	10	1632
2	12	471
2	14	5801
2	5	30395
2	16	9568
2	17	30373
2	18	9843
2	8	22527
2	35	4418
2	26	6446
2	31	12933
2	9	32253
2	6	31436
2	29	24366
2	37	1808
2	11	830
2	7	18621
2	34	18935
2	45	2589
2	38	17788
2	40	4359
2	39	1546
2	41	7601
2	4	300
2	20	6250
2	28	4987
2	32	44883
2	27	3246
2	42	1525
2	21	2385
2	36	12659
2	47	2482
2	13	8081
2	44	2657
2	25	11757
2	19	1270
2	30	37
2	46	9088
2	15	6709
2	23	22798
2	22	618
2	33	8770
2	49	8482
2	43	2739
2	50	4652
2	24	14954
2	48	28229
3	30	216
3	10	4095
3	12	1481
3	14	6858
3	9	27598
3	16	6447
3	40	4748
3	17	6274
3	25	8880
3	35	1492
3	8	11908
3	7	7917
3	26	3654
3	32	22971
3	13	19139
3	5	52208
3	6	27049
3	18	11156
3	20	3100
3	29	33849
3	11	3790
3	27	2961
3	39	3109
3	34	1949
3	43	1938
3	36	7558
3	37	748
3	41	2181
3	31	6107
3	38	701
3	4	2106
3	45	1191
3	28	8063
3	22	2797
3	46	1055
3	15	6078
3	21	1977
3	24	18896
3	42	2212
3	47	3647
3	44	1412
3	23	29024
3	19	2864
3	33	5279
3	48	12231
3	50	2420
3	49	3069
4	5	1243
4	30	104
4	6	1860
4	13	832
4	12	400
4	18	532
4	10	1190
4	41	349
4	14	531
4	8	267
4	20	182
4	7	160
4	26	123
4	40	659
