1	2	39065
1	4	11008
1	5	3658
1	6	14838
1	7	6598
1	9	8007
1	14	12874
1	11	14365
1	16	16318
1	19	1320
1	30	3134
1	26	1523
1	21	2901
1	8	3771
1	15	7570
1	13	13782
1	17	3520
1	39	334
1	28	3251
1	3	18458
1	43	6
1	41	14819
1	18	287
1	10	11461
1	25	524
1	22	1372
1	45	849
1	49	1604
1	33	244
1	20	5884
1	12	2122
1	36	8692
1	23	2212
1	31	1190
1	24	115
1	34	1936
1	48	1630
1	42	102
1	44	1132
1	32	1970
1	37	7112
1	27	579
1	47	2888
1	35	399
1	38	2219
1	50	81
1	40	171
1	29	106
1	46	55
2	4	3431
2	12	1912
2	15	2542
2	8	4261
2	16	2783
2	14	16304
2	25	993
2	22	1485
2	21	2015
2	26	377
2	9	1386
2	7	3698
2	19	654
2	13	10009
2	11	13590
2	30	522
2	10	8821
2	24	835
2	3	8577
2	43	99
2	41	215
2	6	776
2	18	1364
2	40	1791
2	36	3032
2	17	1025
2	23	794
2	38	614
2	44	1395
2	34	736
2	27	1149
2	48	547
2	20	2140
2	28	6004
2	5	1346
2	37	8245
2	32	2955
2	35	195
2	29	3159
2	45	424
2	49	1608
2	33	725
2	31	2493
2	39	760
2	47	245
2	42	919
2	46	123
2	50	193
3	4	445
3	5	24
3	6	40
3	7	259
3	11	977
3	43	12
3	26	147
3	8	382
3	10	1147
3	14	1456
3	27	216
3	18	82
3	36	513
3	38	128
3	48	135
3	41	19
3	16	285
3	28	414
3	15	103
3	13	1084
3	12	81
3	49	108
3	33	51
3	20	299
3	34	137
3	42	29
3	39	107
3	37	1064
3	21	195
3	30	33
3	23	79
3	22	146
3	17	46
3	31	211
3	35	30
3	32	267
3	44	31
3	29	24
3	47	45
3	40	17
3	24	12
3	25	37
3	19	50
3	50	27
3	9	49
3	45	62
3	46	6
4	5	473
4	6	128
4	7	459
4	9	1278
4	14	1981
4	29	563
4	8	210
4	15	1015
4	25	32
4	28	59
4	21	598
4	13	1660
4	49	766
4	31	427
4	43	4
4	32	338
4	17	640
4	39	34
4	44	21
4	20	788
4	18	51
4	33	31
4	16	471
4	27	73
4	19	163
4	10	1574
4	40	2
4	11	209
4	50	20
4	26	24
4	23	49
4	35	13
4	45	12
4	22	60
4	34	65
4	36	48
4	41	4
4	30	11
4	37	27
4	12	24
4	48	168
4	24	10
4	47	30
4	38	2
4	42	5
4	46	4
5	6	233
5	7	515
5	8	468
5	15	388
5	14	486
5	44	225
5	9	199
5	26	115
5	10	945
5	16	472
5	17	102
5	21	253
5	19	130
5	25	174
5	28	195
5	18	123
5	30	111
5	27	129
5	40	49
5	22	129
5	24	356
5	29	218
5	12	199
5	20	476
5	11	1346
5	33	1250
5	35	103
5	31	135
5	23	81
5	41	549
5	13	427
5	39	62
5	43	28
5	45	30
5	49	132
5	36	183
5	38	24
5	48	90
5	37	217
5	32	94
5	42	57
5	34	96
5	47	31
5	46	6
5	50	19
6	7	579
6	8	705
6	41	6451
6	11	6433
6	44	660
6	15	149
6	26	94
6	16	300
6	17	50
6	21	119
6	18	61
6	24	1838
6	20	686
6	9	142
6	19	95
6	30	1128
6	27	58
6	29	103
6	34	297
6	23	226
6	25	106
6	10	1864
6	42	162
6	50	90
6	36	536
6	13	774
6	39	40
6	31	47
6	28	678
6	14	873
6	33	4222
6	37	693
6	22	369
6	43	27
6	40	162
6	12	479
6	35	79
6	49	101
6	47	212
6	38	74
6	48	159
6	45	70
6	32	302
6	46	12
7	9	431
7	14	2917
7	35	134
7	11	8944
7	12	3865
7	40	464
7	36	1223
7	17	364
7	23	771
7	38	446
7	10	2319
7	8	2007
7	25	213
7	26	330
7	22	356
7	18	226
7	30	638
7	45	207
7	16	1817
7	24	188
7	48	400
7	44	548
7	28	2037
7	39	180
7	15	531
7	29	186
7	49	123
7	32	1250
7	13	2607
7	19	146
7	41	143
7	21	452
7	43	6
7	20	1396
